Checking Zenoss
common_tomcat_8	dvb-appunstable-l01.dev.credoc.be	N/A
common_tomcat_8	ttb-app-l11.tst.credoc.be	N/A
common_tomcat_8	acb-app-l12.acc.credoc.be	Common_TC8
common_tomcat_8	acb-app-l11.acc.credoc.be	Common_TC8
common_tomcat_8	prb-app-l02.in.credoc.be	Common_8
common_tomcat_8	ttb-app-l12.tst.credoc.be	N/A
common_tomcat_8	prb-app-l01.in.credoc.be	Common_8
coordinated-status	dvb-appstable-l01.dev.credoc.be	N/A
coordinated-status	dvb-appstable-l02.dev.credoc.be	N/A
coordinated-status	dvb-app-l01.dev.credoc.be	N/A
coordinated-status	ttb-app-l01.tst.credoc.be	N/A
coordinated-status	dvb-app-l02.dev.credoc.be	N/A
coordinated-status	acb-app-l01.acc.credoc.be	N/A
coordinated-status	ttb-app-l02.tst.credoc.be	N/A
coordinated-status	acb-app-l12.acc.credoc.be	N/A
coordinated-status	acb-app-l11.acc.credoc.be	N/A
coordinated-status	acb-app-l02.acc.credoc.be	N/A
coordinated-status	prb-app-l03.in.credoc.be	costatus
coordinated-status	prb-app-l04.in.credoc.be	costatus
coordinated-status-readonly	dvb-app-l01.dev.credoc.be	N/A
coordinated-status-readonly	ttb-app-l01.tst.credoc.be	N/A
coordinated-status-readonly	dvb-app-l02.dev.credoc.be	N/A
coordinated-status-readonly	ttb-app-l02.tst.credoc.be	N/A
costa-ui	dvb-app-l01.dev.credoc.be	N/A
costa-ui	ttb-app-l01.tst.credoc.be	N/A
costa-ui	dvb-app-l02.dev.credoc.be	N/A
costa-ui	acb-app-l01.acc.credoc.be	N/A
costa-ui	ttb-app-l02.tst.credoc.be	N/A
costa-ui	acb-app-l12.acc.credoc.be	N/A
costa-ui	acb-app-l11.acc.credoc.be	N/A
costa-ui	acb-app-l02.acc.credoc.be	N/A
costa-ui	prb-app-l03.in.credoc.be	costa_v1
costa-ui	prb-app-l04.in.credoc.be	costa_v1
costa-ui-public	ttc-app-l02.tst.credoc.be	N/A
costa-ui-public	ttc-app-l01.tst.credoc.be	N/A
costa-ui-public	dvc-app-l02.dev.credoc.be	N/A
costa-ui-public	acc-app-l01.acc.credoc.be	N/A
costa-ui-public	acc-app-l02.acc.credoc.be	N/A
costa-ui-public	prc-app-l01.in.credoc.be	N/A
costa-ui-public	prc-app-l02.in.credoc.be	N/A
costa-ui-public	dvc-app-l01.dev.credoc.be	N/A
crd	dvb-appstable-l01.dev.credoc.be	N/A
crd	dvb-appstable-l02.dev.credoc.be	N/A
crd_tomcat_8	dvb-appstable-l01.dev.credoc.be	N/A
crd_tomcat_8	dvb-appstable-l02.dev.credoc.be	N/A
crd_tomcat_8	dvb-app-l01.dev.credoc.be	N/A
crd_tomcat_8	dvb-app-l02.dev.credoc.be	N/A
crd_tomcat_8	ttb-app-l12.tst.credoc.be	N/A
crd_tomcat_8	ttb-app-l11.tst.credoc.be	N/A
crd_tomcat_8	acb-app-l12.acc.credoc.be	N/A
crd_tomcat_8	acb-app-l11.acc.credoc.be	N/A
crd_tomcat_8	prb-app-l02.in.credoc.be	CRD_8
crd_tomcat_8	prb-app-l01.in.credoc.be	CRD_8
crf	dvb-appunstable-l01.dev.credoc.be	N/A
crf	ttb-app-l12.tst.credoc.be	N/A
crf	ttb-app-l11.tst.credoc.be	N/A
crf	dvb-appunstable-l02.dev.credoc.be	N/A
crf	acb-app-l11.acc.credoc.be	N/A
crf	acb-app-l12.acc.credoc.be	N/A
crt	dvb-appstable-l01.dev.credoc.be	N/A
crt-migration	dvb-app-l02.dev.credoc.be	N/A
crt-migration	dvb-app-l01.dev.credoc.be	N/A
crt-migration	acb-app-l01.acc.credoc.be	N/A
crt-migration	ttb-app-l01.tst.credoc.be	N/A
crt-migration	acb-app-l02.acc.credoc.be	N/A
crt-migration	ttb-app-l02.tst.credoc.be	N/A
crt_tomcat_8	prb-app-l02.in.credoc.be	N/A
crt_tomcat_8	prb-app-l03.in.credoc.be	crt_8
crt_tomcat_8	prb-app-l04.in.credoc.be	crt_8
crt_tomcat_8	ttb-app-l12.tst.credoc.be	N/A
crt_tomcat_8	ttb-app-l11.tst.credoc.be	N/A
crt_tomcat_8	dvb-appunstable-l02.dev.credoc.be	N/A
crt_tomcat_8	dvb-appunstable-l01.dev.credoc.be	N/A
crt_tomcat_8	acb-app-l11.acc.credoc.be	N/A
crt_tomcat_8	acb-app-l12.acc.credoc.be	N/A
data-mock	dvb-appunstable-l02.dev.credoc.be	N/A
data-mock	dvb-appunstable-l01.dev.credoc.be	N/A
delivery	dvb-app-l15.dev.credoc.be	N/A
delivery	dvb-app-l16.dev.credoc.be	N/A
delivery	acb-app-l12.acc.credoc.be	N/A
delivery	acb-app-l11.acc.credoc.be	N/A
delivery	prb-app-l02.in.credoc.be	delivery
delivery	prb-app-l01.in.credoc.be	delivery
demandforms	dvb-app-l14.dev.credoc.be	N/A
demandforms	dvb-app-l13.dev.credoc.be	N/A
demandforms	dvb-appunstable-l02.dev.credoc.be	N/A
demandforms	dvb-appunstable-l01.dev.credoc.be	N/A
demandforms	ttb-app-l12.tst.credoc.be	N/A
demandforms	ttb-app-l11.tst.credoc.be	N/A
demandforms	acb-app-l12.acc.credoc.be	demandforms_v1
demandforms	acb-app-l11.acc.credoc.be	demandforms_v1
demandforms	prb-app-l02.in.credoc.be	demandforms
demandforms	prb-app-l01.in.credoc.be	demandforms
document-service	dvb-app-l15.dev.credoc.be	N/A
document-service	dvb-app-l16.dev.credoc.be	N/A
document-service	ttb-app-l12.tst.credoc.be	N/A
document-service	ttb-app-l11.tst.credoc.be	N/A
document-service	prb-app-l03.in.credoc.be	documentservice
document-service	prb-app-l04.in.credoc.be	documentservice
document-service	acb-app-l12.acc.credoc.be	document
document-service	acb-app-l11.acc.credoc.be	document
dsb-costa-ui	dvb-appstable-l01.dev.credoc.be	N/A
dsb-costa-ui	dvb-appstable-l02.dev.credoc.be	N/A
dsb-costa-ui	dvb-app-l01.dev.credoc.be	N/A
dsb-costa-ui	dvb-app-l02.dev.credoc.be	N/A
dsb-edepot	dvb-appstable-l01.dev.credoc.be	N/A
dsb-edepot	dvb-appstable-l02.dev.credoc.be	N/A
dsb-edossier-babic	dvb-appstable-l01.dev.credoc.be	N/A
dsb-edossier-babic	dvb-appstable-l02.dev.credoc.be	N/A
dsb-edossier-business	dvb-appstable-l01.dev.credoc.be	N/A
dsb-edossier-business	dvb-appstable-l02.dev.credoc.be	N/A
dsb-edossier-other_tomcat_8	dvb-appstable-l01.dev.credoc.be	N/A
dsb-edossier-other_tomcat_8	dvb-appstable-l02.dev.credoc.be	N/A
dsb-edossier-ui_tomcat_8	dvb-appstable-l01.dev.credoc.be	N/A
dsb-edossier-ui_tomcat_8	dvb-appstable-l02.dev.credoc.be	N/A
dsb-irisnext	dvb-appstable-l01.dev.credoc.be	N/A
dua-edepot	dvb-app-l14.dev.credoc.be	N/A
dua-edepot	dvb-app-l13.dev.credoc.be	N/A
dua-edepot	dvb-appunstable-l02.dev.credoc.be	N/A
dua-edepot	dvb-appunstable-l01.dev.credoc.be	N/A
dua-edossier-babic	dvb-app-l14.dev.credoc.be	N/A
dua-edossier-babic	dvb-app-l13.dev.credoc.be	N/A
dua-edossier-babic	dvb-appunstable-l02.dev.credoc.be	N/A
dua-edossier-babic	dvb-appunstable-l01.dev.credoc.be	N/A
dua-edossier-business	dvb-app-l14.dev.credoc.be	N/A
dua-edossier-business	dvb-app-l13.dev.credoc.be	N/A
dua-edossier-business	dvb-appunstable-l02.dev.credoc.be	N/A
dua-edossier-business	dvb-appunstable-l01.dev.credoc.be	N/A
dua-edossier-other	dvb-app-l14.dev.credoc.be	N/A
dua-edossier-other	dvb-app-l13.dev.credoc.be	N/A
dua-edossier-other	dvb-appunstable-l02.dev.credoc.be	N/A
dua-edossier-other	dvb-appunstable-l01.dev.credoc.be	N/A
dua-edossier-ui	dvb-app-l14.dev.credoc.be	N/A
dua-edossier-ui	dvb-app-l13.dev.credoc.be	N/A
dua-edossier-ui	dvb-appunstable-l02.dev.credoc.be	N/A
dua-edossier-ui	dvb-appunstable-l01.dev.credoc.be	N/A
dua-irisnext	dvb-app-l14.dev.credoc.be	N/A
dua-irisnext	dvb-app-l13.dev.credoc.be	N/A
dua-irisnext	dvb-appunstable-l01.dev.credoc.be	N/A
dub-edepot	dvb-appunstable-l02.dev.credoc.be	N/A
dub-edepot	dvb-appunstable-l01.dev.credoc.be	N/A
dub-edossier-babic	dvb-appunstable-l02.dev.credoc.be	N/A
dub-edossier-babic	dvb-appunstable-l01.dev.credoc.be	N/A
dub-edossier-business	dvb-appunstable-l02.dev.credoc.be	N/A
dub-edossier-business	dvb-appunstable-l01.dev.credoc.be	N/A
dub-edossier-other	dvb-appunstable-l01.dev.credoc.be	N/A
dub-edossier-other	dvb-appunstable-l02.dev.credoc.be	N/A
dub-edossier-ui	dvb-appunstable-l02.dev.credoc.be	N/A
dub-edossier-ui	dvb-appunstable-l01.dev.credoc.be	N/A
dub-irisnext	dvb-appunstable-l01.dev.credoc.be	N/A
edepot_tomcat_7	acb-app-l12.acc.credoc.be	N/A
edepot_tomcat_7	acb-app-l11.acc.credoc.be	N/A
edepot_tomcat_7	prb-app-l02.in.credoc.be	eDepot_v5
edepot_tomcat_7	prb-app-l01.in.credoc.be	eDepot_v5
edossier-babic	prb-app-l02.in.credoc.be	babic
edossier-babic	acb-app-l12.acc.credoc.be	N/A
edossier-babic	acb-app-l11.acc.credoc.be	N/A
edossier-babic	prb-app-l01.in.credoc.be	babic
edossier-business	acb-app-l01.acc.credoc.be	eDossierBusiness
